Timestamp,LC_SPS,Accel_SPS
2025-06-18 16:53:39,3,0
2025-06-18 16:53:40,107,45
2025-06-18 16:53:41,107,43
2025-06-18 16:53:42,108,44
2025-06-18 16:53:43,107,43
2025-06-18 16:53:44,108,46
2025-06-18 16:53:45,107,43
2025-06-18 16:53:46,107,44
2025-06-18 16:53:47,108,44
2025-06-18 16:53:48,107,44
2025-06-18 16:53:49,108,42
2025-06-18 16:53:50,107,43
2025-06-18 16:53:51,108,43
2025-06-18 16:53:52,107,43
2025-06-18 16:53:53,107,44
2025-06-18 16:53:54,108,42
2025-06-18 16:53:55,107,44
2025-06-18 16:53:56,108,41
2025-06-18 16:53:57,107,41
2025-06-18 16:53:58,107,47
2025-06-18 16:53:59,108,47
2025-06-18 16:54:00,107,42
2025-06-18 16:54:01,107,42
2025-06-18 16:54:02,108,45
2025-06-18 16:54:03,107,43
2025-06-18 16:54:04,107,43
2025-06-18 16:54:05,108,45
2025-06-18 16:54:06,107,41
2025-06-18 16:54:07,108,43
2025-06-18 16:54:08,107,42
2025-06-18 16:54:09,107,43
2025-06-18 16:54:10,108,42
2025-06-18 16:54:11,107,46
2025-06-18 16:54:12,107,45
2025-06-18 16:54:13,108,45
2025-06-18 16:54:14,107,42
2025-06-18 16:54:15,108,43
2025-06-18 16:54:16,107,41
2025-06-18 16:54:17,108,43
2025-06-18 16:54:18,107,43
2025-06-18 16:54:19,107,42
2025-06-18 16:54:20,108,46
2025-06-18 16:54:21,107,45
2025-06-18 16:54:22,107,45
2025-06-18 16:54:23,108,43
2025-06-18 16:54:24,107,44
2025-06-18 16:54:25,108,45
2025-06-18 16:54:26,107,45
2025-06-18 16:54:27,107,40
2025-06-18 16:54:28,108,43
2025-06-18 16:54:29,107,45
2025-06-18 16:54:30,108,46
2025-06-18 16:54:31,107,42
2025-06-18 16:54:32,108,42
2025-06-18 16:54:33,107,45
2025-06-18 16:54:34,107,44
2025-06-18 16:54:35,108,44
2025-06-18 16:54:36,107,45
2025-06-18 16:54:37,108,42
2025-06-18 16:54:38,107,41
2025-06-18 16:54:39,107,41
2025-06-18 16:54:40,107,42
2025-06-18 16:54:41,108,44
2025-06-18 16:54:42,107,40
2025-06-18 16:54:43,107,45
2025-06-18 16:54:44,107,43
2025-06-18 16:54:45,108,41
2025-06-18 16:54:46,107,45
2025-06-18 16:54:47,107,43
2025-06-18 16:54:48,108,45
2025-06-18 16:54:49,107,44
2025-06-18 16:54:50,107,46
2025-06-18 16:54:51,108,46
2025-06-18 16:54:52,107,45
2025-06-18 16:54:53,108,43
2025-06-18 16:54:54,107,44
2025-06-18 16:54:55,108,43
2025-06-18 16:54:56,107,44
2025-06-18 16:54:57,107,44
2025-06-18 16:54:58,108,46
2025-06-18 16:54:59,107,47
2025-06-18 16:55:00,107,42
2025-06-18 16:55:01,108,44
2025-06-18 16:55:02,107,42
2025-06-18 16:55:03,108,44
2025-06-18 16:55:04,107,43
2025-06-18 16:55:05,108,44
2025-06-18 16:55:06,107,46
2025-06-18 16:55:07,108,44
2025-06-18 16:55:08,107,44
2025-06-18 16:55:09,107,44
2025-06-18 16:55:10,108,43
2025-06-18 16:55:11,107,44
2025-06-18 16:55:12,107,44
2025-06-18 16:55:13,108,44
2025-06-18 16:55:14,107,44
2025-06-18 16:55:15,107,43
2025-06-18 16:55:16,108,44
2025-06-18 16:55:17,107,44
2025-06-18 16:55:18,108,46
2025-06-18 16:55:19,107,42
2025-06-18 16:55:20,108,44
2025-06-18 16:55:21,107,45
2025-06-18 16:55:22,107,44
2025-06-18 16:55:23,108,43
2025-06-18 16:55:24,107,40
2025-06-18 16:55:25,108,44
2025-06-18 16:55:26,107,44
2025-06-18 16:55:27,108,46
2025-06-18 16:55:28,107,46
2025-06-18 16:55:29,107,46
2025-06-18 16:55:30,108,46
2025-06-18 16:55:31,107,42
2025-06-18 16:55:32,107,40
2025-06-18 16:55:33,108,47
2025-06-18 16:55:34,107,44
2025-06-18 16:55:35,107,45
2025-06-18 16:55:36,108,43
2025-06-18 16:55:37,107,43
2025-06-18 16:55:38,108,43
2025-06-18 16:55:39,107,42
2025-06-18 16:55:40,107,44
2025-06-18 16:55:41,108,44
2025-06-18 16:55:42,107,42
2025-06-18 16:55:43,108,44
2025-06-18 16:55:44,107,45
2025-06-18 16:55:45,108,43
2025-06-18 16:55:46,107,44
2025-06-18 16:55:47,108,46
2025-06-18 16:55:48,107,43
2025-06-18 16:55:49,107,44
2025-06-18 16:55:50,108,40
2025-06-18 16:55:51,107,41
2025-06-18 16:55:52,108,44
2025-06-18 16:55:53,107,46
2025-06-18 16:55:54,107,45
2025-06-18 16:55:55,107,43
2025-06-18 16:55:56,108,44
2025-06-18 16:55:57,107,41
2025-06-18 16:55:58,108,45
2025-06-18 16:55:59,107,42
2025-06-18 16:56:00,107,43
2025-06-18 16:56:01,108,44
2025-06-18 16:56:02,107,42
2025-06-18 16:56:03,108,43
2025-06-18 16:56:04,107,44
2025-06-18 16:56:05,108,46
2025-06-18 16:56:06,107,45
2025-06-18 16:56:07,107,44
2025-06-18 16:56:08,108,44
2025-06-18 16:56:09,107,46
2025-06-18 16:56:10,107,42
2025-06-18 16:56:11,108,44
2025-06-18 16:56:12,107,45
2025-06-18 16:56:13,108,42
2025-06-18 16:56:14,107,45
2025-06-18 16:56:15,107,44
2025-06-18 16:56:16,108,44
2025-06-18 16:56:17,107,41
2025-06-18 16:56:18,108,44
2025-06-18 16:56:19,107,43
2025-06-18 16:56:20,107,40
2025-06-18 16:56:21,108,44
2025-06-18 16:56:22,108,44
